SEGUNDA;Introdução a Algoritimos;18:45 <-> 20:15
SEGUNDA;Arquitetura de Computadores;20:30 <-> 22:00 
TERCA;Matemática Discreta;18:45 <-> 20:15
TERCA;Introdução a Algoritimos;20:30 <-> 22:00
QUARTA;Matemática Discreta;18:45 <-> 20:15
QUARTA;Introdução a Algoritimos;20:30 <-> 22:00 
QUINTA;Matemática Discreta;18:45 <-> 20:15
QUINTA;Arquitetura de Computadores;20:30 <-> 22:00 
SEXTA;Introdução a Algoritimos;18:45 <-> 20:15
SEXTA;Introdução a Sistemas de Informação;20:30 <-> 22:00
